bun run src/indexer/classes/RpcEndpointCache.tabletest.ts

Provider Delegations Data:
==========================
Provider	Delegator	Amount	Timestamp	Is From Empty Provider
----------------------------------------------------------------------------------------------------
2024-10-25 15:14:12 [32minfo[39m: [32mProviders cache refreshed successfully.[39m
2024-10-25 15:15:00 [32minfo[39m: [32mUniqueDelegatorsCache refreshed successfully.[39m
2024-10-25 15:15:01 [32minfo[39m: [32mEmpty provider delegations cache refreshed successfully.[39m
Retrieved 284 providers
lava@1020d3e7yk2zl3neh86ja4mwhwwc8wh2g82j3wu	lava@1020d3e7yk2zl3neh86ja4mwhwwc8wh2g82j3wu	46841003068 <ulava>	1729029408	false
lava@1020d3e7yk2zl3neh86ja4mwhwwc8wh2g82j3wu	lava@1htdatr29tx744jpy3wk5mavyxdtkkag0ukdv53	2888140 <ulava>	1729029408	false
lava@1020d3e7yk2zl3neh86ja4mwhwwc8wh2g82j3wu	lava@1sj94fnaesp6f442dppt5cdrnz3ngv5u3vrn0qm	3033200 <ulava>	1729029408	false
lava@1066rljqtct0y969whtagf9v68a86gwg5jycfyf	lava@1066rljqtct0y969whtagf9v68a86gwg5jycfyf	300000000000 <ulava>	1729029408	true
lava@1066rljqtct0y969whtagf9v68a86gwg5jycfyf	lava@19vf5mfr40awvkefw69nl6p3mmlsnacmmjl3p86	1005000 <ulava>	1729029408	true
lava@107q49axqxva9k5vjf05gw23fwhprd3l9e3qyga	lava@1rlmnaesfzh52tdlljxaz006h8s3gsrtvexv67f	50000000001 <ulava>	1729029408	true
lava@1080zsqa5gt6egpxyrz0dt7ykrw436drxccdgts	lava@1080zsqa5gt6egpxyrz0dt7ykrw436drxccdgts	97549502498 <ulava>	1729029408	false
lava@1080zsqa5gt6egpxyrz0dt7ykrw436drxccdgts	lava@19vf5mfr40awvkefw69nl6p3mmlsnacmmjl3p86	1000 <ulava>	1729029408	true
lava@10a0sjm3dzfgd0zrmgscw6rm6curqqj2apy4ern	lava@10a0sjm3dzfgd0zrmgscw6rm6curqqj2apy4ern	298508007507 <ulava>	1729029408	false
lava@10a0sjm3dzfgd0zrmgscw6rm6curqqj2apy4ern	lava@1htdatr29tx744jpy3wk5mavyxdtkkag0ukdv53	1664417 <ulava>	1729029408	false
lava@10a0sjm3dzfgd0zrmgscw6rm6curqqj2apy4ern	lava@1sj94fnaesp6f442dppt5cdrnz3ngv5u3vrn0qm	2997600 <ulava>	1729029408	false
lava@10h0ly2066gdnlq508ekq42auwt6rmvc0n5xpj4	lava@10h0ly2066gdnlq508ekq42auwt6rmvc0n5xpj4	600000000000 <ulava>	1729029408	true
lava@10h0ly2066gdnlq508ekq42auwt6rmvc0n5xpj4	lava@19vf5mfr40awvkefw69nl6p3mmlsnacmmjl3p86	1000000 <ulava>	1729029408	true
lava@10h0ly2066gdnlq508ekq42auwt6rmvc0n5xpj4	lava@1htdatr29tx744jpy3wk5mavyxdtkkag0ukdv53	442946 <ulava>	1729029408	false
